panel,detector,sep_px,diam_mm,cx,cy,a,b,theta_deg
0,projection,112.0,5.04,66.42185080686555,78.62665186859634,41.510827837779395,13.640070864008475,-2.2297256382553123
1,projection,108.0,4.859999999999999,73.19965299135802,85.29025628534188,53.80145049794783,22.53164180543807,6.894464893020377
2,projection,111.0,4.995,21.33665775932719,-195.03120399229005,307.9036954075303,137.23273308356139,74.158341365687
