panel,sep_px,diam_mm,a_k,b_k,theta_k_deg,cx_k,cy_k
1,43.0,nan,342.19270003730065,82.64755333795748,-20.479860849377353,397.8031566904083,230.60812521119237
2,43.0,nan,52.50757651002656,21.453775333295333,-53.1711945349971,75.48858149028146,299.61529358626944
3,44.0,nan,391.1736218340834,85.48122135629686,75.02420024616929,-172.06761595867238,-53.85286961862917
